"tab_code","表章項目","cat01_code","経営形態","area_code","新旧市区町村(2015年)_北陸地方","time_code","時間軸(年次)","unit","value"
"0010","経営体数","100","農林業経営体","65060","旧鎧郷村２－２","2015000000","2015年","経営体","40"
"0010","経営体数","100","農林業経営体","65061","旧漆山村","2015000000","2015年","経営体","225"
"0010","経営体数","100","農林業経営体","65062","旧峰岡村","2015000000","2015年","経営体","175"
"0010","経営体数","100","農林業経営体","65063","旧松野尾村","2015000000","2015年","経営体","76"
"0010","経営体数","100","農林業経営体","65064","旧角田村２－２","2015000000","2015年","経営体","28"
"0010","経営体数","100","農林業経営体","65065","旧浦浜村","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65066","旧和納村３－３","2015000000","2015年","経営体","29"
"0010","経営体数","100","農林業経営体","15202","長岡市","2015000000","2015年","経営体","5213"
"0010","経営体数","100","農林業経営体","65067","旧長岡市","2015000000","2015年","経営体","99"
"0010","経営体数","100","農林業経営体","65068","旧下川西村","2015000000","2015年","経営体","161"
"0010","経営体数","100","農林業経営体","65069","旧黒条村","2015000000","2015年","経営体","150"
"0010","経営体数","100","農林業経営体","65070","旧栖吉村","2015000000","2015年","経営体","81"
"0010","経営体数","100","農林業経営体","65071","旧山本村","2015000000","2015年","経営体","134"
"0010","経営体数","100","農林業経営体","65072","旧富曽亀村","2015000000","2015年","経営体","70"
"0010","経営体数","100","農林業経営体","65073","旧新組村２－１","2015000000","2015年","経営体","113"
"0010","経営体数","100","農林業経営体","65074","旧上川西村","2015000000","2015年","経営体","78"
"0010","経営体数","100","農林業経営体","65075","旧福戸村","2015000000","2015年","経営体","77"
"0010","経営体数","100","農林業経営体","65076","旧王寺川村","2015000000","2015年","経営体","43"
"0010","経営体数","100","農林業経営体","65077","旧日越村","2015000000","2015年","経営体","103"
"0010","経営体数","100","農林業経営体","65078","旧深才村","2015000000","2015年","経営体","99"
"0010","経営体数","100","農林業経営体","65079","旧宮内町","2015000000","2015年","経営体","229"
"0010","経営体数","100","農林業経営体","65080","旧十日町村","2015000000","2015年","経営体","110"
"0010","経営体数","100","農林業経営体","65081","旧六日市村２－１","2015000000","2015年","経営体","65"
"0010","経営体数","100","農林業経営体","65082","旧太田村２－１","2015000000","2015年","経営体","3"
"0010","経営体数","100","農林業経営体","65083","旧関原町","2015000000","2015年","経営体","33"
"0010","経営体数","100","農林業経営体","65084","旧日吉村２－２","2015000000","2015年","経営体","7"
"0010","経営体数","100","農林業経営体","65085","旧黒川村２－２","2015000000","2015年","経営体","27"
"0010","経営体数","100","農林業経営体","65086","旧宮本村","2015000000","2015年","経営体","31"
"0010","経営体数","100","農林業経営体","65087","旧大積村","2015000000","2015年","経営体","44"
"0010","経営体数","100","農林業経営体","65088","旧中之島町","2015000000","2015年","経営体","644"
"0010","経営体数","100","農林業経営体","65089","旧来迎寺村","2015000000","2015年","経営体","168"
"0010","経営体数","100","農林業経営体","65090","旧石津村","2015000000","2015年","経営体","39"
"0010","経営体数","100","農林業経営体","65091","旧塚山村","2015000000","2015年","経営体","58"
"0010","経営体数","100","農林業経営体","65092","旧千谷沢村２－１","2015000000","2015年","経営体","8"
"0010","経営体数","100","農林業経営体","65093","旧岩塚村","2015000000","2015年","経営体","53"
"0010","経営体数","100","農林業経営体","65094","旧脇野町","2015000000","2015年","経営体","88"
"0010","経営体数","100","農林業経営体","65095","旧大津村２－１","2015000000","2015年","経営体","52"
"0010","経営体数","100","農林業経営体","65096","旧日吉村２－１","2015000000","2015年","経営体","40"
"0010","経営体数","100","農林業経営体","65097","旧種苧原村","2015000000","2015年","経営体","54"
"0010","経営体数","100","農林業経営体","65098","旧太田村２－２","2015000000","2015年","経営体","25"
"0010","経営体数","100","農林業経営体","65099","旧竹沢村","2015000000","2015年","経営体","19"
"0010","経営体数","100","農林業経営体","65100","旧東竹沢村２－１","2015000000","2015年","経営体","15"
"0010","経営体数","100","農林業経営体","65101","旧仙田村３－２","2015000000","2015年","経営体","8"
"0010","経営体数","100","農林業経営体","65102","旧上小国村","2015000000","2015年","経営体","188"
"0010","経営体数","100","農林業経営体","65103","旧小国村","2015000000","2015年","経営体","135"
"0010","経営体数","100","農林業経営体","65104","旧山横沢村","2015000000","2015年","経営体","10"
"0010","経営体数","100","農林業経営体","65105","旧千谷沢村２－２","2015000000","2015年","経営体","14"
"0010","経営体数","100","農林業経営体","65106","旧桐島村","2015000000","2015年","経営体","39"
"0010","経営体数","100","農林業経営体","65107","旧島田村","2015000000","2015年","経営体","118"
"0010","経営体数","100","農林業経営体","65108","旧西越村２－２","2015000000","2015年","経営体","14"
"0010","経営体数","100","農林業経営体","65109","旧寺泊町","2015000000","2015年","経営体","199"
"0010","経営体数","100","農林業経営体","65110","旧大河津村３－１","2015000000","2015年","経営体","235"
"0010","経営体数","100","農林業経営体","65111","旧栃尾町","2015000000","2015年","経営体","23"
"0010","経営体数","100","農林業経営体","65112","旧上北谷村２－２","2015000000","2015年","経営体","34"
"0010","経営体数","100","農林業経営体","65113","旧下塩谷村","2015000000","2015年","経営体","227"
"0010","経営体数","100","農林業経営体","65114","旧上塩谷村","2015000000","2015年","経営体","137"
"0010","経営体数","100","農林業経営体","65115","旧東谷村","2015000000","2015年","経営体","114"
"0010","経営体数","100","農林業経営体","65116","旧入東谷村","2015000000","2015年","経営体","63"
"0010","経営体数","100","農林業経営体","65117","旧荷頃村","2015000000","2015年","経営体","103"
"0010","経営体数","100","農林業経営体","65118","旧西谷村","2015000000","2015年","経営体","52"
"0010","経営体数","100","農林業経営体","65119","旧中野俣村","2015000000","2015年","経営体","55"
"0010","経営体数","100","農林業経営体","65120","旧半蔵金村","2015000000","2015年","経営体","18"
"0010","経営体数","100","農林業経営体","65121","旧与板町","2015000000","2015年","経営体","62"
"0010","経営体数","100","農林業経営体","65122","旧大河津村３－３","2015000000","2015年","経営体","18"
"0010","経営体数","100","農林業経営体","65123","旧黒川村２－１","2015000000","2015年","経営体","50"
"0010","経営体数","100","農林業経営体","65124","旧大津村２－２","2015000000","2015年","経営体","36"
"0010","経営体数","100","農林業経営体","65125","旧川口村","2015000000","2015年","経営体","197"
"0010","経営体数","100","農林業経営体","65126","旧東山村２－２","2015000000","2015年","経営体","7"
"0010","経営体数","100","農林業経営体","65127","旧田麦山村","2015000000","2015年","経営体","37"
"0010","経営体数","100","農林業経営体","15204","三条市","2015000000","2015年","経営体","2491"
"0010","経営体数","100","農林業経営体","65128","旧三条市","2015000000","2015年","経営体","149"
"0010","経営体数","100","農林業経営体","65129","旧井栗村","2015000000","2015年","経営体","246"
"0010","経営体数","100","農林業経営体","65130","旧大崎村","2015000000","2015年","経営体","208"
"0010","経営体数","100","農林業経営体","65131","旧本成寺村","2015000000","2015年","経営体","231"
"0010","経営体数","100","農林業経営体","65132","旧大島村２－１","2015000000","2015年","経営体","186"
"0010","経営体数","100","農林業経営体","65133","旧福島村","2015000000","2015年","経営体","259"
"0010","経営体数","100","農林業経営体","65134","旧大面村","2015000000","2015年","経営体","237"
"0010","経営体数","100","農林業経営体","65135","旧長沢村","2015000000","2015年","経営体","436"
"0010","経営体数","100","農林業経営体","65136","旧森町村","2015000000","2015年","経営体","279"
"0010","経営体数","100","農林業経営体","65137","旧鹿峠村","2015000000","2015年","経営体","260"
"0010","経営体数","100","農林業経営体","15205","柏崎市","2015000000","2015年","経営体","1461"
"0010","経営体数","100","農林業経営体","65138","旧柏崎市","2015000000","2015年","経営体","53"
"0010","経営体数","100","農林業経営体","65139","旧西中通村","2015000000","2015年","経営体","83"
"0010","経営体数","100","農林業経営体","65140","旧荒浜村","2015000000","2015年","経営体","4"
"0010","経営体数","100","農林業経営体","65141","旧北鯖石村","2015000000","2015年","経営体","78"
"0010","経営体数","100","農林業経営体","65142","旧田尻村","2015000000","2015年","経営体","134"
"0010","経営体数","100","農林業経営体","65143","旧高田村","2015000000","2015年","経営体","111"
